epoch,accuracy,loss,val_accuracy,val_loss
0,0.25447437167167664,3.040944814682007,0.26060950756073,1.7954095602035522
1,0.25529780983924866,1.7995861768722534,0.26060950756073,1.7953368425369263
2,0.25531673431396484,1.7979674339294434,0.26060950756073,1.7997320890426636
3,0.25532621145248413,1.7965255975723267,0.26060950756073,1.8031483888626099
4,0.25529780983924866,1.7951524257659912,0.26060950756073,1.8046101331710815
5,0.25606444478034973,1.7925076484680176,0.26060950756073,1.817126989364624
6,0.2691539525985718,1.7700642347335815,0.28233957290649414,1.7484149932861328
7,0.28278297185897827,1.7439988851547241,0.29937535524368286,1.722919225692749
8,0.3031034469604492,1.7130134105682373,0.32943403720855713,1.6611337661743164
9,0.3267365097999573,1.6729627847671509,0.34972554445266724,1.6291364431381226
10,0.34283578395843506,1.6405596733093262,0.3715691864490509,1.5717138051986694
11,0.35465705394744873,1.6108289957046509,0.3775884807109833,1.5482006072998047
12,0.373699814081192,1.5755352973937988,0.4266136586666107,1.460999846458435
13,0.4073653519153595,1.5083646774291992,0.44550445675849915,1.4104955196380615
14,0.42967337369918823,1.4625277519226074,0.4659852385520935,1.3621913194656372
15,0.44243162870407104,1.4327975511550903,0.477834552526474,1.334241271018982
16,0.4564771056175232,1.4053616523742676,0.4915010333061218,1.312445044517517
17,0.4680144190788269,1.375567078590393,0.5032367706298828,1.281597375869751
18,0.47569966316223145,1.355060338973999,0.5113760828971863,1.2676756381988525
19,0.48684895038604736,1.3349629640579224,0.5195911526679993,1.2427111864089966
20,0.49327540397644043,1.3175522089004517,0.5287147164344788,1.2230690717697144
21,0.5018029808998108,1.3012081384658813,0.528411865234375,1.2123332023620605
22,0.5075480341911316,1.28029203414917,0.5352640748023987,1.2019559144973755
23,0.5141637325286865,1.266111135482788,0.5547226667404175,1.160438895225525
24,0.5204482674598694,1.2506440877914429,0.5496119856834412,1.1640335321426392
25,0.5274993777275085,1.2372463941574097,0.5567291378974915,1.1619727611541748
26,0.5335566997528076,1.222182035446167,0.5676320195198059,1.1328080892562866
27,0.5385540127754211,1.210191249847412,0.567972719669342,1.1162409782409668
28,0.5439772009849548,1.198411226272583,0.5747870802879333,1.109137773513794
29,0.5466083884239197,1.1890403032302856,0.5810335278511047,1.0921449661254883
30,0.551993727684021,1.178572416305542,0.5868635177612305,1.0880405902862549
31,0.5560161471366882,1.1683714389801025,0.5891728401184082,1.0763283967971802
32,0.5571897625923157,1.1607614755630493,0.593450665473938,1.0694271326065063
33,0.5615718960762024,1.1529487371444702,0.5886049866676331,1.069262146949768
34,0.566909909248352,1.1417065858840942,0.5926178097724915,1.0699743032455444
35,0.5713298916816711,1.1304030418395996,0.6022335886955261,1.0587254762649536
36,0.57276850938797,1.1263099908828735,0.6073064804077148,1.0363824367523193
37,0.5775670409202576,1.1189831495285034,0.6109786033630371,1.027564287185669
38,0.580832302570343,1.1078622341156006,0.6134393215179443,1.0208897590637207
39,0.5822235941886902,1.101525068283081,0.6144993305206299,1.017447590827942
40,0.5860662460327148,1.0953476428985596,0.6172628998756409,1.0058084726333618
41,0.589634358882904,1.0856225490570068,0.6187015175819397,1.0039851665496826
42,0.5925400257110596,1.078869342803955,0.6329358220100403,0.9799762964248657
43,0.5948209762573242,1.07217276096344,0.6331629753112793,0.9719106554985046
44,0.5981146693229675,1.062360405921936,0.6321029663085938,0.9844595193862915
45,0.6008215546607971,1.052229404449463,0.633011519908905,0.9717587828636169
46,0.6035757064819336,1.0510348081588745,0.638008713722229,0.9551385045051575
47,0.6070113778114319,1.044726848602295,0.6346772909164429,0.9623971581459045
48,0.6083080172538757,1.0376956462860107,0.643990159034729,0.9495323896408081
49,0.6127468943595886,1.0286840200424194,0.6464130282402039,0.9426117539405823
50,0.6152644753456116,1.0229392051696777,0.6431573033332825,0.9483931064605713
51,0.6169680953025818,1.0198259353637695,0.6399394273757935,0.9484530091285706
52,0.6199021339416504,1.0124908685684204,0.6518266201019287,0.9233171343803406
53,0.6245208382606506,1.0027124881744385,0.6523944735527039,0.9297940731048584
54,0.6231579780578613,1.0012848377227783,0.6597009301185608,0.9038137793540955
55,0.6258553862571716,0.9939306378364563,0.660495936870575,0.9094551801681519
56,0.6320357322692871,0.9853997826576233,0.6627295017242432,0.9088062644004822
57,0.6344397664070129,0.9778072237968445,0.6651902198791504,0.901003360748291
58,0.6345627903938293,0.9756888747215271,0.6645845174789429,0.891792356967926
59,0.6376482248306274,0.9695415496826172,0.6657202243804932,0.8858188390731812
60,0.6392951011657715,0.9612513184547424,0.6707931160926819,0.8793913722038269
61,0.6414719223976135,0.9567322731018066,0.6731023788452148,0.873023509979248
62,0.6451631188392639,0.9528639912605286,0.6767745614051819,0.8639509081840515
63,0.6477753520011902,0.9447942972183228,0.6795381307601929,0.8742108941078186
64,0.6517693996429443,0.9372936487197876,0.6810524463653564,0.8492352366447449
65,0.6510122418403625,0.9359221458435059,0.6875638961791992,0.8449166417121887
66,0.6540314555168152,0.9281570911407471,0.6866931915283203,0.8534794449806213
67,0.6576563715934753,0.9195265769958496,0.6851410269737244,0.8462794423103333
68,0.6605809330940247,0.9131268262863159,0.6891539096832275,0.8375659584999084
69,0.6631647944450378,0.9065001010894775,0.6869960427284241,0.8371471762657166
70,0.6657012701034546,0.898777425289154,0.695513904094696,0.8242095708847046
71,0.66633540391922,0.8973302841186523,0.6921824812889099,0.826749861240387
72,0.6700549721717834,0.8900063037872314,0.6971796154975891,0.8230318427085876
73,0.6719763278961182,0.885607123374939,0.6995646357536316,0.8196113109588623
